key,symbol,settlement,side,fecha_nano,position,price,quantity
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747054882446762883,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747054882446990225,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747054986572692702,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055013393899065,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055028148626320,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055047530416156,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055064027857636,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055075010267073,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055091148248547,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055094063474672,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055106436667118,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055118695662085,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055178835216531,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055194141076482,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055204697988882,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055209906603340,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055216034822016,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055221295759654,0,1149.0,1
DLR/MAY25_24HS_TRADE,DLR/MAY25,24HS,TRADE,1747055222561102095,0,1149.0,1
